Company_Name,DUNS_Num,CIK_Num,Year_x,Funding_Type,Funding_Amt,Funding_Source,HC_Status,HC_Maturity,HC_Section,HC_Phase
"Terrell, Williams and Chapman",827811626,1648827,2017,Series B,689563,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Morrison, Delgado and Austin",827811626,1648827,2009,Series E,776781,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Kim-Lewis,827811626,1648827,1999,Seed,978162,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Barnes Inc,827811626,1648827,2020,Series F,830894,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Jones Ltd,827811626,1648827,2012,Series A,747892,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Stewart Inc,827811626,1648827,1989,Series B,291860,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Baxter-Miles,827811626,1648827,1985,Series F,79833,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Scott-Ewing,827811626,1648827,1993,Seed,511959,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Bonilla Inc,827811626,1648827,1971,Series C,431834,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Roberts, Mendez and Reed",827811626,1648827,2008,Seed,66161,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Butler-Thomas,827811626,1648827,2003,Series F,284586,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Schmidt-Young,827811626,1648827,2018,Series E,702622,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Bennett and Sons,827811626,1648827,1975,Seed,376601,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Chen Ltd,827811626,1648827,2005,Series D,707151,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Palmer-Pierce,827811626,1648827,1979,Series F,948688,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Garcia-Perkins,827811626,1648827,1973,Series A,526578,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Garcia, Baker and Rodriguez",827811626,1648827,1980,Series B,319189,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Smith PLC,827811626,1648827,1984,Series E,607494,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Pitts-Francis,827811626,1648827,2009,Series F,967963,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Gonzalez LLC,827811626,1648827,1984,Series B,335499,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Porter-Miranda,827811626,1648827,1983,Series E,555279,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Brown-Haynes,827811626,1648827,2015,Series B,556595,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Fisher, White and Garcia",827811626,1648827,1970,Series F,872436,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Kim-Lam,827811626,1648827,2011,Series D,62641,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Watson, Williams and Coleman",827811626,1648827,1973,Seed,587300,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Mckay-Hancock,827811626,1648827,1994,Series A,26400,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Henderson-Bartlett,827811626,1648827,1996,Series B,38304,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Wood, Gibson and Cline",827811626,1648827,1986,Series C,354269,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Parker-Joyce,827811626,1648827,1978,Series D,435003,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Nguyen LLC,827811626,1648827,1983,Series F,720600,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Stone PLC,827811626,1648827,1983,Government Award,817277,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Carr-Ortega,827811626,1648827,1990,Series A,175193,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
James-Navarro,827811626,1648827,1977,Series B,428933,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Alexander Inc,827811626,1648827,1980,Series C,167803,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Cunningham and Sons,827811626,1648827,1981,Series E,389034,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Williams-Martinez,827811626,1648827,2013,Government Award,984661,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Yu-Gonzalez,827811626,1648827,1997,Series E,66527,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Brown Inc,827811626,1648827,1992,Series F,747958,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Green-Bennett,827811626,1648827,1974,Series A,673168,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Gomez PLC,827811626,1648827,1989,Series B,503125,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Thornton Ltd,827811626,1648827,1994,Series A,797468,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Walton, Williams and King",827811626,1648827,1973,Seed,505021,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Jenkins Inc,827811626,1648827,1977,Government Award,317068,Venture Capital,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
"Hammond, Jennings and Spence",827811626,1648827,1989,Series F,728623,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Moore-Davis,827811626,1648827,2009,Seed,893347,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Gutierrez, Smith and Chapman",827811626,1648827,2003,Series E,611059,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Hill-Lyons,827811626,1648827,2019,Series B,663310,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Perry Ltd,827811626,1648827,2008,Series B,589672,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Davis-Murray,827811626,1648827,1990,Seed,900027,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Perez and Sons,827811626,1648827,1989,Seed,31842,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Ross-Edwards,827811626,1648827,1983,Seed,45288,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Wood-Valdez,827811626,1648827,2011,Series D,677535,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Foster-Hoover,827811626,1648827,1970,Series B,835017,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Boyle-Hanson,827811626,1648827,2001,Series D,377184,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Bennett, Diaz and Henry",827811626,1648827,2018,Series F,10591,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Evans-Cox,827811626,1648827,1971,Seed,140796,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Mann Group,827811626,1648827,1983,Series D,824351,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Strong LLC,827811626,1648827,2001,Series B,536227,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Andrews Inc,827811626,1648827,1971,Seed,891063,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Myers, Richards and Robinson",827811626,1648827,1980,Series C,670574,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Miller Ltd,827811626,1648827,2001,Series B,739005,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Sullivan Inc,827811626,1648827,1975,Series A,981176,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Roman-Barron,827811626,1648827,2001,Seed,399346,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Rodriguez Inc,827811626,1648827,1972,Series D,176035,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Wiggins, Rosales and Macias",827811626,1648827,1985,Series A,169116,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Hernandez LLC,827811626,1648827,1984,Series A,254836,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Hendricks-Blevins,827811626,1648827,1993,Government Award,533586,Venture Capital,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Gonzalez Group,827811626,1648827,2013,Government Award,200880,DHHS,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Lee-Hester,827811626,1648827,1996,Series C,474401,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Ball LLC,827811626,1648827,1976,Series A,477713,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Whitehead-Brown,827811626,1648827,1998,Series A,197879,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Howe, Gomez and Williams",827811626,1648827,1993,Series A,342586,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Myers and Sons,827811626,1648827,1993,Seed,206796,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Palmer-Irwin,827811626,1648827,2015,Series D,183291,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Johnson LLC,827811626,1648827,2007,Series B,9558,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Taylor, Martinez and Hartman",827811626,1648827,2005,Series B,52417,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Gonzalez, Merritt and Lawrence",827811626,1648827,2006,Series A,337391,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
King-Cook,827811626,1648827,1992,Series C,848190,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Henry-Saunders,827811626,1648827,2003,Series F,136051,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Brown PLC,827811626,1648827,1985,Series B,510598,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Paul-Houston,827811626,1648827,1998,Government Award,362927,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Howard and Sons,827811626,1648827,1982,Series E,454906,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Cox, Nelson and Anderson",827811626,1648827,2021,Series A,916636,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Bryant-Brown,827811626,1648827,2018,Series A,737735,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Schwartz, Ellis and Mercado",827811626,1648827,2001,Series F,933594,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Thomas, Wilson and Mayo",827811626,1648827,2007,Seed,821647,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Dunlap, Pruitt and Munoz",827811626,1648827,2019,Series F,435836,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Moreno LLC,827811626,1648827,2018,Series C,961953,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Hunter, Harrison and Cohen",827811626,1648827,1977,Seed,901026,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Smith, Stewart and Montgomery",827811626,1648827,1982,Series C,274,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Sanders and Sons,827811626,1648827,1990,Series B,62317,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Perry Inc,827811626,1648827,2006,Government Award,373582,DHHS,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Chan-Henderson,827811626,1648827,1990,Seed,929905,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Johnston, Washington and Chambers",827811626,1648827,1981,Series E,625887,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Garner, Garcia and Bentley",827811626,1648827,1993,Series A,117032,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Delgado LLC,827811626,1648827,1978,Series A,876411,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Bowen, Murray and Castro",827811626,1648827,2003,Government Award,838859,DHHS,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Miller PLC,827811626,1648827,2008,Seed,67033,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Bryan, Greer and Patterson",827811626,1648827,2002,Government Award,582505,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Abbott Ltd,827811626,1648827,2013,Seed,936268,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Dawson-Garrett,827811626,1648827,1971,Series E,402251,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Andrews-Garza,827811626,1648827,2016,Series B,181282,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Mills Inc,827811626,1648827,1980,Series A,182200,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Brown-Dean,827811626,1648827,1978,Series D,447436,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Cervantes LLC,827811626,1648827,2011,Series F,563596,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Ward-White,827811626,1648827,1981,Series F,107102,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Johnson-Phillips,827811626,1648827,2012,Series A,886418,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Fernandez-Smith,827811626,1648827,2005,Series D,106450,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Smith Inc,827811626,1648827,1972,Seed,852061,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Russell Group,827811626,1648827,2018,Series D,572993,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Dorsey-Salazar,827811626,1648827,1971,Seed,124158,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Hendrix-Peters,827811626,1648827,2018,Government Award,224746,NSF,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Carroll-Lopez,827811626,1648827,1992,Series B,702818,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Mcmillan Ltd,827811626,1648827,1971,Series E,481317,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Allen LLC,827811626,1648827,2001,Series F,147295,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Harris Inc,827811626,1648827,1970,Series B,793969,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Nelson, Smith and Potts",827811626,1648827,1981,Government Award,933693,Venture Capital,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Fox and Sons,827811626,1648827,1989,Series A,446351,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Young-Larson,827811626,1648827,1983,Series E,111969,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Weaver Ltd,827811626,1648827,2003,Government Award,173065,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Warner PLC,827811626,1648827,1995,Series F,267838,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
